Participant.ID,X1..I.think.City.Council.should.consider.increasing.the.budget.for.the.following.service..select.one..,X2.1.Supports.environmental.and.climate.action,X2.2.Supports.truth..justice.and.reconciliation,X2.3.Makes.sure.everyone.in.Toronto.has.equitable.access.to.services.and.supports,X2.4.Makes.it.easier.to.get.around,X2.5.Supports.social..physical.and.mental.well.being,X2.6.Makes.life.easier.or.more.affordable,X2.7.Helps.build.the.economy..supports.businesses..job.creation.or.employment,X2.8.Makes.Toronto.safer,X2.9.Supports.the.city.s.development.and.prepares.for.future.growth,X2.10.This.is.a.fundamental.municipal.service,X2.11.Is.a.good.use.of.my.property.taxes.or.user.fees,X2.12.Other.,X2.13.Other.Text,X3..The.service.I.think.the.City.should.decrease.funding.to.is.,X4.1.The.money.should.go.to.another.program.or.service,X4.2.Enough.of.my.money.goes.to.this.service.already,X4.3.Benefits.some.Toronto.residents.more.than.others,X4.4.The.money.to.support.it.should.come.from.another.level.of.government,X4.5.The.City.should.not.deliver.this.service.anymore,X4.6.It.needs.to.be.more.effective.before.the.City.spends.more.money.on.this.service,X4.7.It.no.longer.meets.the.needs.of.Toronto.s.residents,X4.8.Other.,X4.9.Other.Text,X5..The.City.continues.to.fill.the.funding.gap.for.services.that.are.the.Provincial.Government.s.responsibilities..resulting.in.a..1.5.billion.budget.shortfall..These.services.should.be.properly.funded.by.them.including.housing..emergency.shelters..highways..public.safety..refugees.and.transit..Do.you.agree.that.the.provincial.government.should.step.up.and.pay.for.their.responsibilities.,X6..The.City.of.Toronto.continues.to.fill.the.gap.in.funding.for.services.that.are.within.the.Federal.Government.s.responsibilities.and.should.be.properly.funded.by.them..These.services.include.housing..transit..health.and.refugee.settlement....Do.you.agree.that.the.federal.government.should.step.up.and.pay.for.their.responsibilities.,X7.1.Meet.and.speak.with.my.local.Member.of.Provincial.Parliament..MPP..and.Member.of.Parliament..MP.,X7.2.Ask.friends.to.also.contact.their.MPP.and.MP.to.support.a.New.Deal,X7.3.Participate.in.the.provincial.budget.consultations,X7.4.Participate.in.the.federal.budget.consultations,X7.5.Sign.a.petition.to.the.provincial.and.federal.parliaments,X7.6.Other,X7.7.Other.Text,X8..Please.provide.the.first.three.characters.of.your.postal.code..e.g..M5H.,X9..What.is.your.age.,X10.1.Identify.as.Indigenous.to.Canada..First.Nations..Inuit.or.Metis.,X10.2.From.a.racialized.community,X10.3.New.to.Canada..less.than.5.years.,X10.4.Have.lived.experience.of.homelessness,X10.5.Member.of.the.2SLGBTQ..community,X10.6.Living.with.disability,X10.7.Low.income,X10.8.My.primary.language.is.not.English.or.French,X10.9.None.of.these.apply.to.me.or.prefer.not.to.answer,X10.10.Other,X10.11.Other.Text
154761b4f57cea44c883836f89049823,Long-term care homes and services for seniors,NA,NA,1,NA,1,1,1,1,1,1,1,NA,,Environment and climate ,1,NA,NA,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,NA,NA,NA,NA,1,NA,,M6s,30-54,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
358dc9337a91db6232e0cd66095a64f7,"Community grants, partnerships and programs for youth",NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,,Parking ,1,1,NA,NA,NA,1,NA,NA,,Strongly disagree,Strongly disagree,1,1,NA,NA,1,NA,,M6N,30-54,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
c1a2eb4590d383fc25ca1308b9635607,"Maintaining roads, bike lanes and sidewalks",NA,NA,1,1,1,1,1,1,1,1,1,NA,,Long-term care homes and services for seniors,NA,NA,NA,NA,1,NA,NA,NA,,Strongly disagree,Strongly disagree,1,1,1,1,1,NA,,m4m,30-54,NA,NA,NA,1,1,1,1,NA,NA,NA,
266372de84ffb33be22f8e8318a4b8b9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3d64603885b8eda1dcdd91ab54941d35,Long-term care homes and services for seniors,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,"Baby boomer generation is ready to retire.  Start investment now so city can handle the increase in demand for services when the time comes.  We don't want to be caught short like housing crisis., Supports the city's development and prepares for future growth",Environment and climate ,NA,1,NA,1,1,1,NA,1,"Climate change is real. But Canada contributes so little GHG in absolute numbers.  Even if we did the impossible and reduced GHG to 0, it will make no impact to the world.",Strongly disagree,Strongly disagree,NA,NA,NA,NA,NA,1,"Torontonians pay taxes to all levels of government. Negotiating ""New Deal"" with provincial and federal governments will not reduce our overall taxes.  Stop wasting resources on shifting taxation.",M9A,55-64,NA,1,1,1,NA,NA,NA,1,NA,1,I'm new immigrant.  Came to Canada with relatively little money.  But I'm working hard to make new life in new country. Hate to see my tax dollars wasted.
6068dd9b9e202001587092c6c98fec28,TTC and Wheel Trans ,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,,Enforcement of bylaws and licensing ,NA,1,NA,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,NA,NA,NA,NA,1,NA,,M6M,30-54,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
1cd89dc669748b0dc75f7c14c2dbbeb8,TTC and Wheel Trans ,1,NA,1,1,NA,1,NA,1,1,1,1,NA,,"Maintaining roads, bike lanes and sidewalks",1,1,1,NA,NA,NA,1,NA,,Agree,Agree,NA,NA,NA,1,1,NA,,M8Y,30-54,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,
4b9052160c3452a8ef16a6ef149b666c,Animal services,1,NA,1,NA,1,NA,1,1,1,1,1,1,"Toronto's animal laws are ancient. No regulations for dog trainers, the soaring cost of vet care, the inhumane removal of wildlife - we need urgent action",Enforcement of bylaws and licensing ,1,1,1,NA,NA,1,1,NA,,Strongly agree,Strongly agree,1,1,1,1,1,NA,,M4J,30-54,NA,1,NA,NA,NA,NA,NA,1,NA,NA,
474f285895699f2239c0b3d0d8c61d81,Enforcement of bylaws and licensing ,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,Bylaw enforcement means increased revenue.,Affordable housing and shelters ,1,NA,1,NA,NA,NA,NA,1,Housing residents are a net drain on the city's finances. They contribute less property taxes and use more resources as administration/maintenance of housing is a net cost.,Strongly disagree,Strongly disagree,NA,NA,NA,NA,NA,1,"Stop provide the service if the city cannot afford it, and other goverments do not fund it, period.",M2J,30-54,NA,1,NA,NA,NA,NA,1,1,NA,NA,
f59464594256fb39aedda680459fd71a,Affordable housing and shelters ,NA,NA,1,NA,1,1,1,1,1,NA,1,NA,,Parking ,1,NA,1,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,NA,NA,NA,NA,1,NA,,M4J,30-54,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
5693965b82e7d8b6a8bb5ca8ad6bacb5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1bdcb223358a7cb62c849d28facec4d2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24b7daa8da9129a1ab8aa76c19fc0aed,TTC and Wheel Trans ,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,,Planning and development,NA,NA,NA,NA,NA,1,NA,NA,,Strongly agree,Strongly agree,NA,NA,NA,NA,1,NA,,M4W,20–29,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,
569e4d0a3543cff55d13885c7485d537,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
72d45062d4c0818cfb65ae5afb047c22,Police ,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,,Affordable housing and shelters ,1,1,1,NA,1,1,1,NA,,Disagree,Disagree,NA,NA,1,1,NA,NA,,M5v,30-54,NA,1,1,NA,NA,NA,NA,NA,NA,NA,
bd06f76f32b7c01f36d33fc8d1a79059,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
55a51d105190989033c8407d941d27f6,Affordable housing and shelters ,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,Keeps ciry vibrant with a community that is diverse. With afodibiliry everything else will come.,Animal services,1,NA,NA,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,1,1,1,1,1,NA,,M6S,55-64,NA,NA,NA,NA,NA,NA,NA,NA,1,1,I am a white female immigrant that came to Canada 33 years ago.
a109bebe1035772dd35df1134565ad1c,Police ,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,"Bcz crime, theft, assaults, random assaults and vagrancy are out of control.  Criminals have more rights than law abiding citizens and tax payers",Environment and climate ,1,1,NA,NA,1,1,NA,NA,,Disagree,Strongly agree,NA,NA,NA,NA,NA,1,"City should look to cut waste, poor productivity and stop special interest group funding  and find efficiencies before  taxing more, or asking other levels of govt for $ - all comes from same taxpayer",M5G,30-54,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Prefer not to answer; this question is loaded and written such that a “white” perspective won’t be given equal weight, som”prefer not to answer”"
858a550ee7f874afb73564b5e2d93ff7,Affordable housing and shelters ,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,,Building permits and inspections,1,NA,NA,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,NA,1,1,1,1,NA,,M9A,30-54,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
881ccb5325e2fa546368d3f14a8a6442,TTC and Wheel Trans ,1,NA,1,1,NA,1,1,NA,1,1,1,NA,,"Arts, culture, entertainment and attractions",1,NA,NA,NA,NA,NA,NA,NA,,Strongly disagree,Strongly disagree,1,1,1,1,1,NA,,M6r,55-64,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
9235c88b701353d1c50fa761f4924be4,Public health,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,1,"Health is a basic need. Prenatal, newborn babies and preschool children to have everything they need, specially the ones that are more vulnerable or with any impairment.",Police ,NA,1,NA,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,NA,1,NA,NA,1,1,Send emails to MPP & MP,M2K,30-54,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
0df3ce9b0c71c7041eb936a05803d97a,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8cff56a4e5e238765145f2ba2e09d012,Building permits and inspections,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,,"Community grants, partnerships and programs for youth",1,NA,NA,NA,NA,NA,NA,NA,,Agree,Agree,NA,NA,1,1,1,NA,,M6R,55-64,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
760e9ef2a9260d9cfc478f2392af1180,Planning and development,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,,Employment and social services,NA,1,1,1,NA,NA,NA,1,Too many people are abusing the system and collecting the money instead of working or working under the table,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
acf260e2f5f3e207440c2d8e7a73ae9b,Affordable housing and shelters ,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,,Parking ,1,NA,NA,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,NA,NA,NA,NA,1,NA,,M5G,20–29,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,
5efec9dad01402fed3f62e27e90372e3,Affordable housing and shelters ,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,"Homelessness, mental health, will increase otherwise and human dignity is important",Enforcement of bylaws and licensing ,1,NA,NA,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,NA,NA,NA,NA,1,NA,,M6M,55-64,NA,NA,NA,NA,NA,NA,1,NA,NA,1,I know people who are low income and are struggling
66bcf004479fdd50533c03b4f73a9af3,Affordable housing and shelters ,NA,NA,1,NA,1,1,NA,1,1,1,1,NA,,Police ,1,1,NA,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,1,1,1,1,NA,NA,,M4k,55-64,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
3805fa405ec8ca899891d0d471d19dd4,Police ,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,,Promoting and supporting Toronto businesses,1,1,1,NA,1,NA,NA,NA,,Strongly agree,Strongly agree,NA,NA,1,1,1,NA,,M6R,Prefer not to answer,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
34607f476d0a0e8c0db307714c9f48f8,Parks and recreation,1,NA,1,NA,1,1,1,1,NA,1,1,NA,,Parking ,1,1,NA,NA,NA,1,NA,NA,,Strongly agree,Strongly agree,NA,NA,NA,NA,1,NA,,M9A,65 and over,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
a163f67e7327610cc7fe3b345f42ee29,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18d25bf43d31307bdd4831cb046f57f9,"Maintaining roads, bike lanes and sidewalks",1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,,Parks and recreation,NA,NA,NA,NA,NA,NA,NA,1,we have to cut back somewhere and this seems the least harmful to a broad swath of residents,Agree,Agree,1,1,1,1,1,NA,,M5M,55-64,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
4ec5fdb3fdb854ad223a6f71513bac59,TTC and Wheel Trans ,1,NA,1,1,1,1,1,1,1,1,1,NA,,Police ,1,1,1,NA,1,1,1,NA,,Strongly agree,Strongly agree,1,1,1,1,1,NA,,M6K,30-54,NA,1,NA,NA,1,1,NA,NA,NA,NA,
fb1f51e75b9a20beed2f865040c27a40,Long-term care homes and services for seniors,NA,NA,1,NA,1,NA,NA,NA,1,1,1,NA,,"Maintaining roads, bike lanes and sidewalks",NA,1,1,NA,NA,1,NA,NA,,Strongly disagree,Strongly disagree,NA,1,NA,NA,1,NA,,M8X,65 and over,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,
420437a8f2bba1884842a0729e32a51c,Affordable housing and shelters ,1,1,1,1,1,1,1,1,1,NA,1,NA,,Police ,1,1,1,NA,NA,1,1,1,"The police are tasked with providing services that they are il equipped to, especially when there are other groups already providing the same services in community, in safe, culturally appropriate way",Strongly agree,Strongly agree,1,1,1,1,1,1,Host and participate in community events to educate people about topics at hand,M6J,30-54,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Single, immigrant who moved to Canada solo and have no family here"
fdead5f2037515d84d3522a1c5327a36,Affordable housing and shelters ,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,1,"In our city, everyone should be housed. This can be done NOW if we commit to ""Each person needs four walls to live in"". By doing this we give them something to be proud of and to be inspired by.",Police ,1,1,NA,NA,NA,1,NA,1,The police need the city to fund them but I feel we need to hold them more accountable for where they are spending our money. Can some of the money be used for housing all people in Toronto.,Strongly agree,Strongly agree,1,1,1,1,NA,1,"I feel it is important to speak face to face with Municipal, Provincial and Federal politicians. And not to give up until we are listened to, heard and concrete solutions are offered & promised kept!",M5E,65 and over,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,I am an artist who has lived and work in Toronto my whole life. Toronto is a great city with many challenges. We must face these challenges head on and NOT continue to NOT solve the city's challenges.
07aecd8576928250ba0689e4d1bbd36b,Parks and recreation,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,,Police ,NA,1,NA,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,NA,NA,NA,NA,1,NA,,M6S,20–29,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
57249308415c31be7e9d68cb377b49b9,Affordable housing and shelters ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2b789a704aab95d0251d948da8813ebc,Police ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Too much crime,  stolen vehicles, not enough patrols","Arts, culture, entertainment and attractions",1,1,1,NA,NA,1,1,NA,,Strongly agree,Strongly agree,NA,NA,1,1,1,NA,,M9R,55-64,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
63c681556104b9f844c32b609cedb2c5,Affordable housing and shelters ,NA,NA,1,1,1,1,1,1,NA,1,1,NA,,Parking ,1,1,1,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,1,NA,1,1,1,NA,,M5T,30-54,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
8dcc99f7e847ea33cc2c7129a89efb11,Affordable housing and shelters ,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,,Parks and recreation,NA,NA,NA,NA,NA,NA,NA,1,"Parks are not shelters and if this is the case, then put parks in SSHA.",Strongly agree,Strongly agree,NA,NA,NA,NA,NA,1,"The City needs to strong arm MPs and MPPs and announce that if we don’t get a commit upload or funding , then non essential Divisions should no longer exist.",M6H,30-54,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
6094510c3943ae87302f388a3113f1c7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0a98f4c2e4fc7cac7d258bb7a9b7525e,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
f4740780093658d350047c98ff4bcefe,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
40294549a09066c84dd18f0bcac2420e,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2a71d3ee4c82c64ffe5b9e5c8fd2b0af,"Community grants, partnerships and programs for youth",NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,,Parks and recreation,NA,NA,NA,1,NA,NA,NA,NA,,Undecided / Don’t Know,Agree,NA,1,NA,NA,1,NA,,M9p,65 and over,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
2929dd5d5412a0da27c1126b2c7043b7,Employment and social services,NA,1,1,NA,1,1,NA,1,1,1,1,1,"Supporting mental health and social services has been proven to make the city safer, reduce strains in other areas like emergency medicine, and reduce the requirement for law enforcement.",Police ,1,1,1,NA,NA,NA,NA,1,"Increasing police budget has done nothing to increase safety. Investing in social services and intervention has been proven over and over again to be far more effective. Redirect funds please!, Enough of my money goes to this service already, Benefits some Toronto residents more than others",Strongly agree,Strongly agree,1,1,1,1,1,NA,,M5V,30-54,NA,NA,NA,NA,1,NA,1,NA,NA,1,"The question is confusing - I have a lived experience of being low income in the past, but I am not currently. Might help to make the question more clear"
39db77579d169fa950a0fd9a9d2b1125,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8955b16887e31f849aa7c0854b7351ac,Affordable housing and shelters ,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,,Police ,1,1,1,NA,NA,NA,1,1,"Many of the issues that the police attempt to handle could be solved through better services/infrastructure around health, housing, and transportation.",Agree,Agree,1,1,NA,NA,1,NA,,M4K,20–29,NA,NA,NA,NA,1,NA,1,NA,NA,NA,
1aa8cf7c6f5f84562ff76e6f859b26f4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3fc1869f5c69d745f1f75ac983beac7c,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
146e09edbdf29442ac767ed20c5e4720,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ea58e8d9203ac16896723001570b03fa,Parks and recreation,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,,Employment and social services,1,NA,NA,NA,NA,NA,NA,NA,,Undecided / Don’t Know,Agree,NA,NA,NA,NA,NA,1,None,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
c3ee36d1532e166851d6f79db2d763a3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3e3bb1f000a69837cd40ed4ced5ad2b8,Planning and development,NA,NA,NA,1,NA,1,NA,1,1,1,1,NA,,Libraries,1,NA,NA,NA,NA,1,1,NA,,Agree,Agree,NA,NA,1,1,1,NA,,M6c,30-54,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,
b8d636537c8378cb58216d5e1001607f,"Maintaining roads, bike lanes and sidewalks",1,NA,1,1,1,NA,NA,NA,NA,1,1,NA,,Police ,1,1,NA,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,NA,NA,1,1,NA,NA,,m4g,65 and over,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
9ff01f943a94d45701b3c0b42b84083c,Affordable housing and shelters ,NA,NA,1,1,1,1,NA,1,1,NA,1,NA,,"Community grants, partnerships and programs for youth",1,1,1,1,1,1,1,NA,,Strongly agree,Strongly agree,1,1,1,1,NA,NA,,m5a,55-64,NA,NA,NA,NA,NA,1,1,NA,NA,1,senior
93d8309246453fb7ca6bbdca3e4bc8bb,Parks and recreation,NA,NA,1,NA,1,1,NA,NA,NA,1,1,NA,,Police ,NA,1,NA,NA,NA,NA,NA,NA,,Strongly agree,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
fda7b560c23807c992c23e77443e19be,"Maintaining roads, bike lanes and sidewalks",NA,NA,1,1,1,NA,NA,1,NA,1,1,NA,,Police ,1,1,NA,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,NA,NA,NA,NA,1,NA,,m6h,65 and over,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,
fae8e83bd210e38fceff2e95ced6db78,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
05d759a7a184b27ff8aa91488b1047ef,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
e3f828a2977af0b2045355a4a3be4b15,"Garbage, recycling and green bin",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,"Community grants, partnerships and programs for youth",1,1,1,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,NA,NA,NA,NA,1,NA,,M4X,30-54,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,
b6204882ceb86a6ec66dd1225f69c0dd,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
f3633e8ac45b6082c03482409ea82aca,Affordable housing and shelters ,NA,NA,1,NA,1,1,1,1,NA,1,NA,NA,,Building permits and inspections,1,NA,NA,1,NA,NA,1,NA,,Strongly agree,Strongly agree,NA,NA,1,1,NA,NA,,M1P,55-64,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,
9ac0c31c43776ab60dc4c59f7767de4c,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
a1df1098900b61e7de237bafc0e5fd53,Public health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
f115c1035ea1492ca931928a6935cc9d,Planning and development,1,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,,"Arts, culture, entertainment and attractions",NA,NA,1,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,1,1,NA,NA,1,NA,,M2K,65 and over,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
763dbee09bc21d49b4f318252d36d93b,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3136698734f18b189fc111193502580f,Public health,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,,Police ,NA,1,NA,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,NA,NA,NA,NA,1,NA,,M2k,55-64,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
c45a3ea4234df7f640ad8e62da1dd3b2,Affordable housing and shelters ,NA,1,1,NA,1,1,1,1,NA,1,1,NA,,Police ,1,1,1,NA,NA,NA,NA,NA,,Strongly agree,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
54fdf2913376aee6e61e203a843ffaf5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
965d7b568cc43c8b0587efbd44f44d45,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
a18658699043bf9eeb88adc4f952e4e0,Affordable housing and shelters ,NA,1,1,NA,1,1,1,1,1,1,1,NA,,Parking ,1,NA,1,NA,NA,NA,NA,NA,,Agree,Agree,1,NA,NA,NA,1,NA,,m3m,30-54,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
